part_id,display_name,source_relative_path,audit_verdict,audit_flags,status,vertices,triangles,catalog_vertices,catalog_triangles,mesh_blocks,kept_block_count,dropped_blocks,large_dropped_block_count,has_legs_marker,repair_rule,gx_pose_block_count,gx_pose_mode,gx_pose_applied,bounds,width,height,depth,center_x,center_y,center_z,obj_path,error
"nova_mob_legs3_ktpr","캐터필러","datan\common\legs3_ktpr.gx","review","repair_applied;gx_pose_unapplied_candidate","audited","204","222","204","222","12","12","","0","true","legs_orphan_and_mirror_bounds_repair","12","detected","false","-0.599133;-0.136053;-1.28457|0.599636;1.525346;1.050141","1.198769","1.661399","2.334711","0.000252","0.694647","-0.117215","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs3_ktpr_aa64fc50.obj",""
"nova_mob_legs49_otrs","옵테릭스","datan\common\legs49_otrs.gx","review","center_x_outlier","audited","453","520","453","520","26","26","","0","true","","15","detected","false","-0.342192;-1.329139;-1.808486|1.37663;0.658344;0.994483","1.718822","1.987483","2.802969","0.517219","-0.335398","-0.407002","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs49_otrs_c7f057fd.obj",""
"nova_mob_legs4_kt","캔터","datan\common\legs4_kt.gx","pass","","audited","488","522","488","522","13","13","","0","true","","13","detected","false","-1.107328;0.014294;-0.894461|1.11222;1.251964;0.984755","2.219548","1.23767","1.879216","0.002446","0.633129","0.045147","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs4_kt_0169395a.obj",""
"nova_mob_legs50_pps","포퍼스","datan\common\legs50_pps.gx","review","repair_applied;dropped_block_present;gx_pose_unapplied_candidate","audited","540","327","540","327","25","20","0xD55C:v12:t12;0xE6C5:v12:t12;0xF82E:v12:t12;0x10997:v12:t12;0x11B00:v12:t12","0","true","legs_orphan_and_mirror_bounds_repair","6","detected","false","-0.89217;0.012997;-1.436019|0.899161;1.748133;1.494102","1.791331","1.735136","2.930121","0.003495","0.880565","0.029042","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs50_pps_8af5e808.obj",""
"nova_mob_legs51_ppo","피파울","datan\common\legs51_ppo.gx","review","repair_applied;gx_pose_unapplied_candidate;center_y_outlier","audited","959","546","959","546","22","22","","0","true","legs_orphan_and_mirror_bounds_repair","22","detected","false","-0.647355;0.87289;-1.607105|0.99857;3.008149;1.410269","1.645925","2.135259","3.017374","0.175608","1.940519","-0.098418","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs51_ppo_c6fb22ee.obj",""
"nova_mob_legs52_pkk","피코크","datan\common\legs52_pkk.gx","review","repair_applied;gx_pose_unapplied_candidate","audited","572","620","572","620","20","20","","0","true","legs_orphan_and_mirror_bounds_repair","16","detected","false","-0.63399;-0.001996;-1.408099|0.627338;1.716262;1.518381","1.261328","1.718258","2.92648","-0.003326","0.857133","0.055141","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs52_pkk_d393ef61.obj",""
"nova_mob_legs53_rgd","래거드","datan\common\legs53_rgd.gx","review","repair_applied;gx_pose_unapplied_candidate","audited","868","724","868","724","40","40","","0","true","legs_orphan_and_mirror_bounds_repair","18","detected","false","-1.232452;-0.002329;-1.266422|1.232452;1.024101;1.04594","2.464904","1.02643","2.312362","0","0.510886","-0.110241","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs53_rgd_3f073fd8.obj",""
"nova_mob_legs5_ko","키위","datan\common\legs5_ko.gx","pass","","audited","522","468","522","468","9","9","","0","true","","9","detected","false","-0.680998;0.005448;-1.457411|0.680998;1.238563;0.561912","1.361996","1.233115","2.019323","0","0.622006","-0.44775","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs5_ko_cf6d709a.obj",""
"nova_mob_legs6_ok","워커","datan\common\legs6_ok.gx","pass","","audited","326","348","326","348","9","9","","0","true","","9","detected","false","-0.492791;0.002113;-0.254125|0.51191;1.471194;0.493771","1.004701","1.469081","0.747896","0.00956","0.736654","0.119823","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs6_ok_919e17d1.obj",""
"nova_mob_legs7_hb","호버","datan\common\legs7_hb.gx","pass","","audited","346","410","346","410","3","3","","0","true","","3","detected","false","-1.047382;0.015712;-1.106391|1.039079;1.299288;1.564743","2.086461","1.283576","2.671134","-0.004152","0.6575","0.229176","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs7_hb_31b3460a.obj",""
"nova_mob_legs8_obr","앰블러","datan\common\legs8_obr.gx","pass","","audited","484","524","484","524","21","21","","0","true","","21","detected","false","-1.089318;0.015863;-1.197916|1.071721;1.186039;1.186196","2.161039","1.170176","2.384112","-0.008799","0.600951","-0.00586","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs8_obr_1aac85f2.obj",""
"nova_mob_legs9_ptr","패트롤","datan\common\legs9_ptr.gx","review","dropped_block_present;gx_pose_unapplied_candidate","audited","98","128","98","128","2","1","0x478D:v12:t12","0","true","","2","detected","false","-1.071926;-0.079448;-1.384917|1.075966;0.446548;0.788307","2.147892","0.525996","2.173224","0.00202","0.18355","-0.298305","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs9_ptr_262d1fec.obj",""
"nova_mob_n_legs38_grp","갤로퍼N","datan\common\n_legs38_grp.gx","pass","","audited","438","496","438","496","17","17","","0","true","","17","detected","false","-1.359081;-0.027443;-1.275548|1.318948;1.401378;1.197283","2.678029","1.428821","2.472831","-0.020067","0.686968","-0.039132","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_n_legs38_grp_03f6fc71.obj",""
"nova_mob_n_legs39_wk","워커N","datan\common\n_legs39_wk.gx","pass","","audited","326","348","326","348","9","9","","0","true","","9","detected","false","-0.492791;0.002113;-0.254125|0.51191;1.471194;0.493771","1.004701","1.469081","0.747896","0.00956","0.736654","0.119823","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_n_legs39_wk_c195f805.obj",""
"nova_mob_n_legs40_krz","크루저N","datan\common\n_legs40_krz.gx","high","catalog_count_mismatch;gx_pose_unapplied_candidate","audited","270","324","246","300","4","4","","0","true","","4","detected","false","-1.107862;0.137563;-2.184672|1.093321;2.061103;2.743541","2.201183","1.92354","4.928213","-0.007271","1.099333","0.279434","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_n_legs40_krz_cc420116.obj",""
"nova_mob_n_legs41_tdr","토들러N","datan\common\n_legs41_tdr.gx","pass","","audited","414","390","414","390","13","13","","0","true","","13","detected","false","-0.461817;-0.01254;-0.269494|0.461744;1.379965;0.463547","0.923561","1.392505","0.733041","-0.000036","0.683713","0.097027","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_n_legs41_tdr_fd9e43f8.obj",""
"nova_mob_n_legs42_krr","크롤러N","datan\common\n_legs42_krr.gx","review","repair_applied;gx_pose_unapplied_candidate","audited","280","234","280","234","7","7","","0","true","legs_orphan_and_mirror_bounds_repair","7","detected","false","-0.911218;0.013809;-0.750986|0.913458;1.37857;1.518738","1.824676","1.364761","2.269724","0.00112","0.69619","0.383876","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_n_legs42_krr_c6cdc337.obj",""
"nova_mob_n_legs44_hord","하이로더N","datan\common\n_legs44_hord.gx","review","repair_applied;gx_pose_unapplied_candidate","audited","378","378","378","378","12","12","","0","true","legs_orphan_and_mirror_bounds_repair","12","detected","false","-0.765812;-0.045486;-1.144133|0.571137;1.498746;0.992366","1.336949","1.544232","2.136499","-0.097337","0.72663","-0.075883","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_n_legs44_hord_7e40c834.obj",""
"nova_mob_n_legs45_strod","스트라이더N","datan\common\n_legs45_strod.gx","pass","","audited","268","312","268","312","9","9","","0","true","","9","detected","false","-0.552318;0.00159;-0.411293|0.553376;1.539879;0.429269","1.105694","1.538289","0.840562","0.000529","0.770735","0.008988","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_n_legs45_strod_619581df.obj",""
"nova_mob_n_legs46_sprt","스플리터N","datan\common\n_legs46_sprt.gx","pass","","audited","438","426","438","426","11","11","","0","true","","11","detected","false","-0.663755;-0.001078;-0.913214|0.661449;1.416102;0.778367","1.325204","1.41718","1.691581","-0.001153","0.707512","-0.067424","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_n_legs46_sprt_bda74735.obj",""
"nova_mob_s_legs27_ksor","카소와리S","datan\common\s_legs27_ksor.gx","pass","","audited","384","360","384","360","13","13","","0","true","","13","detected","false","-0.775391;-0.008905;-1.6565|0.775391;1.512547;0.62887","1.550782","1.521452","2.28537","0","0.751821","-0.513815","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_s_legs27_ksor_02fe43b0.obj",""
"nova_mob_s_legs28_krz","크루저S","datan\common\s_legs28_krz.gx","review","dropped_block_present;gx_pose_unapplied_candidate","audited","246","300","246","300","4","2","0x792A:v12:t12;0x8935:v12:t12","0","true","","4","detected","false","-1.100605;0.158487;-1.433661|1.100608;1.941283;2.805035","2.201213","1.782796","4.238696","0.000001","1.049885","0.685687","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_s_legs28_krz_49aae83c.obj",""
"nova_mob_s_legs29_sprt","스플리터S","datan\common\s_legs29_sprt.gx","pass","","audited","438","426","438","426","11","11","","0","true","","11","detected","false","-0.664146;-0.027534;-0.966136|0.664146;1.412826;0.772895","1.328292","1.44036","1.739031","0","0.692646","-0.096621","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_s_legs29_sprt_544da1a3.obj",""
"nova_mob_s_legs30_tk","탱커S","datan\common\s_legs30_tk.gx","high","large_dropped_block;catalog_count_mismatch;repair_applied;dropped_block_present;gx_pose_unapplied_candidate","audited","843","677","908","713","27","18","0x147A0:v8:t4;0x15DC2:v4:t2;0x162E2:v4:t2;0x167AE:v4:t2;0x1708F:v4:t2;0x1A96D:v17:t10;0x1AE47:v8:t4;0x1B129:v8:t4;0x1C16E:v12:t8","5","true","legs_orphan_and_mirror_bounds_repair","16","detected","false","-1.356659;-0.02736;-1.721731|1.356659;1.869304;1.930888","2.713318","1.896664","3.652619","0","0.920972","0.104579","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_s_legs30_tk_4c94062a.obj",""
"nova_mob_s_legs31_ko","키위S","datan\common\s_legs31_ko.gx","pass","","audited","522","468","522","468","9","9","","0","true","","9","detected","false","-0.680998;0.005448;-1.457411|0.680998;1.238563;0.561912","1.361996","1.233115","2.019323","0","0.622006","-0.44775","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_s_legs31_ko_99ce2771.obj",""
"nova_mob_s_legs32_kb","코벳S","datan\common\s_legs32_kb.gx","review","dropped_block_present;gx_pose_unapplied_candidate","audited","200","211","200","211","4","3","0x5AA5:v12:t12","0","true","","4","detected","false","-0.987994;-0.618605;-1.212834|0.988023;0.589403;1.033043","1.976017","1.208008","2.245877","0.000014","-0.014601","-0.089895","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_s_legs32_kb_579e95d3.obj",""
"nova_mob_s_legs33_spod","스파이더S","datan\common\s_legs33_spod.gx","review","repair_applied;dropped_block_present;height_outlier","audited","650","676","650","676","16","15","0x5982:v4:t4","0","true","gx_pose_frame_semantic_hierarchy","15","verified","true","-1.743018;-1.528291;-1.049676|1.743143;1.879621;1.198718","3.486161","3.407912","2.248394","0.000062","0.175665","0.074521","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_s_legs33_spod_72b4e49f.obj",""
