source_relative_path,part_id,mesh_header,vertices,triangles,node,node_start,node_end,parent_node,parent_start,parent_end,local_tx,local_ty,local_tz,tx,ty,tz,bounds,repair_rule,repair_reason,texture_source,assessment
"datan\common\n_body43_prt.gx","nova_frame_n_body43_prt","0x1860","105","112","body","0x89","0x392F","D:\NovaUpdate\AR_DATA\AR(????????)\BP\??????\body2.gx","0x0","0x393A","-0","-0","-0","-0","-0","-0","-0.218187;-0.042704;-0.66997|0.214128;0.512746;0.503946","","","C:\Program Files (x86)\Nova1492\datan\common\n_body2.TGA","pass"
"datan\common\n_body44_brps.gx","nova_frame_n_body44_brps","0x1626","123","126","body","0x8D","0x5AFE","D:\NovaUpdate\AR_DATA\AR(????????)\BP\????????\body100.gx","0x0","0x5B09","0","0","0","0","0","0","-0.884079;-0.145429;-0.830648|0.870854;0.872486;1.267808","","","C:\Program Files (x86)\Nova1492\datan\common\n_body100.TGA","pass"
"datan\common\n_body44_brps.gx","nova_frame_n_body44_brps","0x3EF5","4","4","Box30224765","0x3C95","0x40B8","body","0x8D","0x5AFE","0.73848","0.238831","0.000175","0.737985","0.239766","-0.016819","0.653893;0.149054;-0.045187|0.822078;0.330479;0.011549","","","C:\Program Files (x86)\Nova1492\datan\common\n_body100.TGA","pass"
"datan\common\n_body44_brps.gx","nova_frame_n_body44_brps","0x4323","4","4","Box30224767","0x40C3","0x44E6","body","0x8D","0x5AFE","0.3433","0.368936","-0.033132","0.341909","0.369884","-0.036741","0.257817;0.279171;-0.065108|0.426002;0.460597;-0.008373","","","C:\Program Files (x86)\Nova1492\datan\common\n_body100.TGA","pass"
"datan\common\n_body44_brps.gx","nova_frame_n_body44_brps","0x484C","5","4","Mesh03","0x44F1","0x4A3B","body","0x8D","0x5AFE","-0.000171","0.377736","0.418941","0.011403","0.370756","0.424978","-0.124757;0.307408;0.098113|0.153497;0.405797;0.74542","","","C:\Program Files (x86)\Nova1492\datan\common\n_body100.TGA","pass"
"datan\common\n_body44_brps.gx","nova_frame_n_body44_brps","0x4CA6","4","4","Box30224766","0x4A46","0x4E69","body","0x8D","0x5AFE","0.551755","0.291817","0.000175","0.551291","0.292499","-0.010644","0.467198;0.201786;-0.039012|0.635384;0.383212;0.017724","","","C:\Program Files (x86)\Nova1492\datan\common\n_body100.TGA","pass"
"datan\common\n_body44_brps.gx","nova_frame_n_body44_brps","0x50D4","4","4","Box30224768","0x4E74","0x5297","body","0x8D","0x5AFE","-0.741954","0.238831","0.000175","-0.741851","0.23782","0.02518","-0.824927;0.147306;0.001312|-0.658776;0.328334;0.049048","","","C:\Program Files (x86)\Nova1492\datan\common\n_body100.TGA","pass"
"datan\common\n_body44_brps.gx","nova_frame_n_body44_brps","0x5502","4","4","Box30224769","0x52A2","0x56C5","body","0x8D","0x5AFE","-0.548688","0.291817","0.000175","-0.548709","0.291052","0.020575","-0.631784;0.200539;-0.003293|-0.465633;0.381566;0.044443","","","C:\Program Files (x86)\Nova1492\datan\common\n_body100.TGA","pass"
"datan\common\n_body44_brps.gx","nova_frame_n_body44_brps","0x5930","4","4","Box30224770","0x56D0","0x5AF3","body","0x8D","0x5AFE","-0.344885","0.368936","-0.033132","-0.345999","0.36898","-0.017217","-0.429074;0.278466;-0.041085|-0.262923;0.459493;0.006651","","","C:\Program Files (x86)\Nova1492\datan\common\n_body100.TGA","pass"
"datan\common\n_body47_kp.gx","nova_frame_n_body47_kp","0x1221","85","77","body","0x89","0x2B24","D:\Work\Nova1492\?? ???? ????(1)\AR\BP\????\body92.gx","0x0","0x2B2F","0","0","0","0","0","0","-0.179566;-0.10282;-0.585785|0.201736;0.575759;0.582744","","","C:\Program Files (x86)\Nova1492\datan\common\n_body92.TGA","pass"
"datan\common\n_body48_grbs.gx","nova_frame_n_body48_grbs","0x157","96","86","body","0x8F","0x1D3A","D:\Work\Nova1492\????1????????????\AR\BP\????????\body82.gx","0x0","0x1D45","0","0","0","0","0","0","-0.785116;-0.111296;-0.688614|0.785213;0.54935;1.037745","","","C:\Program Files (x86)\Nova1492\datan\common\n_body82.TGA","pass"
"datan\common\n_body49_rzmt.gx","nova_frame_n_body49_rzmt","0x1627","118","108","body","0x8F","0x37B2","D:\Work\Nova1492\????1????????????\AR\BP\????????\body35.gx","0x0","0x37BD","0","0.000014","0.000006","0","0.000014","0.000006","-0.128576;-0.035078;-0.356227|0.17011;0.457166;0.49161","","","C:\Program Files (x86)\Nova1492\datan\common\n_body35.TGA","pass"
"datan\common\n_body50_bgd.gx","nova_frame_n_body50_bgd","0x153","93","102","body","0x8C","0x1F6A","D:\Work\Nova1492\????1????????????\AR\BP\??????\body3.gx","0x0","0x1F75","0","0","0","0","0","0","-0.455127;0.000002;-1.042128|0.455127;0.651878;0.831618","","","C:\Program Files (x86)\Nova1492\datan\common\n_body3.TGA","pass"
