"relative_path","extension","length","sha256","source_path"
"datan\common\070309r_ef_03.tga",".tga","3166","183FFE5A6D7AC7BB29FEF7CCE359148035B34EBB24912AB9B6609E1FB52AD39F","C:\Program Files (x86)\Nova1492\datan\common\070309r_ef_03.tga"
"datan\common\070309r_missile.GX",".gx","5015","9BCD112CAC6AE93CC250B51EFE33A3A90583A26AA2C370B9BBE23797F06CDE96","C:\Program Files (x86)\Nova1492\datan\common\070309r_missile.GX"
"datan\common\070309r_missile.xfi",".xfi","82","0E6A8D0D472D33E9B4BDF883D53D0568B71EB336DC98612A6644E142BC7D9393","C:\Program Files (x86)\Nova1492\datan\common\070309r_missile.xfi"
"datan\common\070309r_mp_01.tga",".tga","20761","FF56F63ACB0D029F579ABC77BF6F40DB36976AA42A4D4A6832358F3F6E3CA1D6","C:\Program Files (x86)\Nova1492\datan\common\070309r_mp_01.tga"
"datan\common\070309r_mp_02.tga",".tga","2977","E5C977715EE8A23738B157899181F9D1F45A04DA87490D212BFE839E691E0041","C:\Program Files (x86)\Nova1492\datan\common\070309r_mp_02.tga"
"datan\common\070309r_mp_03.tga",".tga","3914","149DECF0286D363346D3535AC12EBD360678234FA1845B7127A5857548AA35F3","C:\Program Files (x86)\Nova1492\datan\common\070309r_mp_03.tga"
"datan\common\070309r_mp_04.tga",".tga","5891","32C3743256FFB682D539F498BFCA06C0D41869E8D8BBEFED72759A9CEAA03E37","C:\Program Files (x86)\Nova1492\datan\common\070309r_mp_04.tga"
"datan\common\070309r_mp_05.tga",".tga","383","1E8CCEEACCE3F96A6E0BADC1CA1E217C152300A0EE25B332891826C761B65959","C:\Program Files (x86)\Nova1492\datan\common\070309r_mp_05.tga"
"datan\common\070309r_mp_06.tga",".tga","8706","20E6780FBAF1A555953703F619F523ED352C41A95E2A94E763D7DCB5965963F1","C:\Program Files (x86)\Nova1492\datan\common\070309r_mp_06.tga"
"datan\common\070309r_mp_07.tga",".tga","3469","E1F0090B2CFF2961F5D44FF8263BF1416BEFE329C88A31FBDCA4273E4ECBEA76","C:\Program Files (x86)\Nova1492\datan\common\070309r_mp_07.tga"
"datan\common\070309r_mp_08.tga",".tga","2932","96F12663E08BBBD2E427B824E94A1EE880289236BE26E790C81E1D9BC7B256A8","C:\Program Files (x86)\Nova1492\datan\common\070309r_mp_08.tga"
"datan\common\070309r_mp_09.tga",".tga","1613","87EFBCADBF60D55CEB6776B2AF5006F2BED07CC7EEE4ED5B8F17189AC489EA96","C:\Program Files (x86)\Nova1492\datan\common\070309r_mp_09.tga"
"datan\common\070309r_mp_10.tga",".tga","7107","AED3210078668738F28CAFF26EBDEC80E7BE5B96E960E52DAC6829AC77691928","C:\Program Files (x86)\Nova1492\datan\common\070309r_mp_10.tga"
"datan\common\070309r_mp_11.tga",".tga","3684","826633904ED13F67EF604F2480522D053FD727A17A07209A20D312AAEEEDD98C","C:\Program Files (x86)\Nova1492\datan\common\070309r_mp_11.tga"
"datan\common\070309r_mp_12.tga",".tga","3467","29FEC49E90375FDB14D33FA6A97E167A1B9D174966466F4733AD357A2F82438E","C:\Program Files (x86)\Nova1492\datan\common\070309r_mp_12.tga"
"datan\common\070309r_mp_13.tga",".tga","5779","C3D09277424716220CD10F38E1D7DCC202F9DD7B51C440FCF752C9DE646EFC8D","C:\Program Files (x86)\Nova1492\datan\common\070309r_mp_13.tga"
"datan\common\070309r_mp_14.tga",".tga","2675","19C0A6120A638FD41654E847BA40ECB3EDF4E00D6739E1E5026153F8EE7E92D8","C:\Program Files (x86)\Nova1492\datan\common\070309r_mp_14.tga"
"datan\common\070309r_wha_01.tga",".tga","13916","BAEB56DED62BFA8D48AA7624AD296A06E20E20F42D85739683238430186558C0","C:\Program Files (x86)\Nova1492\datan\common\070309r_wha_01.tga"
"datan\common\07_AG.bmp",".bmp","196664","23B03E01BF25E4D25537506E3449C880C16DCD98417CB2191D70A9DF558BFD2E","C:\Program Files (x86)\Nova1492\datan\common\07_AG.bmp"
"datan\common\08_BS_1.bmp",".bmp","196664","D97C1766D347D990A85FFD9DE18825AC67866D46CDE1F115F0BC787832512D5C","C:\Program Files (x86)\Nova1492\datan\common\08_BS_1.bmp"
"datan\common\08_BS_2.bmp",".bmp","196664","47B0502A48CCE46D637FB3FC385273169E4F2D83BB9EAB2C29736EAC6049FFF9","C:\Program Files (x86)\Nova1492\datan\common\08_BS_2.bmp"
"datan\common\0913missile.GX",".gx","5840","2D2091B997B30EF4325BE580AD07E2AB95B2B38CE25A8181C8167B97ECE0DD3B","C:\Program Files (x86)\Nova1492\datan\common\0913missile.GX"
"datan\common\0913missile.xfi",".xfi","18","DD1AB3C57B01836BF12AD3E8BADDABD5CD1F6F921D13F981EEB3762EB384A7EF","C:\Program Files (x86)\Nova1492\datan\common\0913missile.xfi"
"datan\common\09_BASE3_01_1.bmp",".bmp","196664","19CD2A5E3F442A27C738532BC115A17984198EC0B3867FFB38E8D91D8396D0F5","C:\Program Files (x86)\Nova1492\datan\common\09_BASE3_01_1.bmp"
"datan\common\09_BASE3_01_2.BMP",".bmp","196664","B438B9A56142FADA26123763808C73C0BAED85133E9ACB3ED14A79E3EFE3F7C8","C:\Program Files (x86)\Nova1492\datan\common\09_BASE3_01_2.BMP"
"datan\common\1.tga",".tga","509567","25A7DDE1A4D868FD05D715C91DA444F1C66F10C2D5A0A2FF8D7D5AD3FA70D614","C:\Program Files (x86)\Nova1492\datan\common\1.tga"
"datan\common\10010.ifl",".ifl","132","B9C206B1CE3101CBC051EE9700521BF784A11B888A6AF32FC4F7EE99B1A276F5","C:\Program Files (x86)\Nova1492\datan\common\10010.ifl"
"datan\common\10010.tga",".tga","413","EF17A941DB7DF46A1FADDAFBF5B202E2F357CF953B660B60746B6409885EADD5","C:\Program Files (x86)\Nova1492\datan\common\10010.tga"
"datan\common\10011.tga",".tga","4210","D608DEEF5F4E23398F7F8689D4861A62AF4E8B9AA8C12F05DBBFF38D5E5CE4A0","C:\Program Files (x86)\Nova1492\datan\common\10011.tga"
"datan\common\10015.tga",".tga","7288","0BC8752F68F1B7F4E2C23A755F1D3B23130CBC6C7EB0EB6D9E415D6617381474","C:\Program Files (x86)\Nova1492\datan\common\10015.tga"
"datan\common\10019.tga",".tga","8922","075D83D563C494F0D0FB30091FCFBF2E1060044D8EEE7F748BBC254C1B470A98","C:\Program Files (x86)\Nova1492\datan\common\10019.tga"
"datan\common\10023.tga",".tga","8736","A005E2FB1244FB7308309053DDBAF69C1B55B5AD1F11532C87555CF3364E7BAF","C:\Program Files (x86)\Nova1492\datan\common\10023.tga"
"datan\common\10027.tga",".tga","9754","82D9C701594ECA9CBE34200E1AF0FA7F6F3642B39121C852682D37CD9C0EAE3E","C:\Program Files (x86)\Nova1492\datan\common\10027.tga"
"datan\common\10028.tga",".tga","8255","B12430FD8682FC7A6505912EE013476736D00A9EAEFF4DA290CE7B822B63CF05","C:\Program Files (x86)\Nova1492\datan\common\10028.tga"
"datan\common\10029.tga",".tga","6112","04324C8828668EC34F75DC4C60584C029CC7BA62133D6322C93430D6C6BAD566","C:\Program Files (x86)\Nova1492\datan\common\10029.tga"
"datan\common\10030.tga",".tga","5224","BEAC9B7B3BDEF5851A0DB1EBA6EE19DB14DDF12E87E952BB83C9BBEED5F13873","C:\Program Files (x86)\Nova1492\datan\common\10030.tga"
"datan\common\10031.tga",".tga","4044","1C69E5BAE2FC4884EA231F07FA0B8C1CFBA1D0A5364C3CF1AC8129045FD10CD1","C:\Program Files (x86)\Nova1492\datan\common\10031.tga"
"datan\common\10032.tga",".tga","2405","1A109A836BA14B74ECAFD0A8AE640238E9974DFD74D95B43D0D91ECA6075603B","C:\Program Files (x86)\Nova1492\datan\common\10032.tga"
"datan\common\10033.ifl",".ifl","132","B9C206B1CE3101CBC051EE9700521BF784A11B888A6AF32FC4F7EE99B1A276F5","C:\Program Files (x86)\Nova1492\datan\common\10033.ifl"
"datan\common\10033.tga",".tga","413","EF17A941DB7DF46A1FADDAFBF5B202E2F357CF953B660B60746B6409885EADD5","C:\Program Files (x86)\Nova1492\datan\common\10033.tga"
"datan\common\10dam.bmp",".bmp","49206","4E1AF9A0473532C0FB830AB42B20014D7078FD262DC10C66F99E2D4116E65ABC","C:\Program Files (x86)\Nova1492\datan\common\10dam.bmp"
"datan\common\10dam.xfi",".xfi","20","62869CAF6D2428736F243B6E099F463253FE241D23E01BCB579CF979B8306C36","C:\Program Files (x86)\Nova1492\datan\common\10dam.xfi"
"datan\common\10dama.bmp",".bmp","17462","904400EB2ADF618215145136702E3CD18B5961EA66FF0784008BD625C3A0C6D4","C:\Program Files (x86)\Nova1492\datan\common\10dama.bmp"
"datan\common\10_BASE_01_1.BMP",".bmp","196664","862B3E8AE1DC3B2067187C9C0D36DAA14BECD9717F3842FC86E6B9695A3B14DC","C:\Program Files (x86)\Nova1492\datan\common\10_BASE_01_1.BMP"
"datan\common\10_BASE_01_2.BMP",".bmp","196664","B56325AEF03206E1CF0190DC349BAEBC9E76DD5E3EF5844B1359868F53328C00","C:\Program Files (x86)\Nova1492\datan\common\10_BASE_01_2.BMP"
"datan\common\11.GX",".gx","133","232A212B05FCDBBEC4FA4951078EC10F04E0A0B4F55811C5E6CA8B14C30B2B61","C:\Program Files (x86)\Nova1492\datan\common\11.GX"
"datan\common\11_SL_1.bmp",".bmp","196664","ECC33F7D075B5281F121ED05EA7DD8208751DD18D249FB49CFE3FB5A062CCDBA","C:\Program Files (x86)\Nova1492\datan\common\11_SL_1.bmp"
"datan\common\11_SL_2.bmp",".bmp","196664","5FF6DBB0EE5C4936A01933FB802A45823420A63842C1EF022FF8C1F9EBC334EE","C:\Program Files (x86)\Nova1492\datan\common\11_SL_2.bmp"
"datan\common\11_SL_3.bmp",".bmp","196664","F8B2447B5B9F779FD05FEFEA4010F409E4904674545A4991EBE76A01B85D3851","C:\Program Files (x86)\Nova1492\datan\common\11_SL_3.bmp"
"datan\common\12dam.bmp",".bmp","196664","8727117E2DEC4EEEE10F109759306A1704BE302B14EB58478E8BF350D74EFDCC","C:\Program Files (x86)\Nova1492\datan\common\12dam.bmp"
"datan\common\12dam.xfi",".xfi","20","62869CAF6D2428736F243B6E099F463253FE241D23E01BCB579CF979B8306C36","C:\Program Files (x86)\Nova1492\datan\common\12dam.xfi"
"datan\common\12dama.bmp",".bmp","66616","BDADA4DFB3912B5FD97704F6925597CFE459BFF29A13051662C555628520F365","C:\Program Files (x86)\Nova1492\datan\common\12dama.bmp"
"datan\common\12_SN_1.BMP",".bmp","196664","6D13F233B4A4F9B05AC07A6A4262AF05AA48176AAE542146A2B424EAFC96BF2C","C:\Program Files (x86)\Nova1492\datan\common\12_SN_1.BMP"
"datan\common\12_SN_2.BMP",".bmp","196664","26BBE15242CDDDD60A4D74364F07204D21D813B2FF62F9CD7E442617D4AA9E46","C:\Program Files (x86)\Nova1492\datan\common\12_SN_2.BMP"
"datan\common\13_BC.bmp",".bmp","786488","F4E195C52DDEB4ABB08234E220AF3FEAF845ACD9E96DAD867266324C48114572","C:\Program Files (x86)\Nova1492\datan\common\13_BC.bmp"
"datan\common\14_OT.bmp",".bmp","786488","219C62DC498E4A7BEEC9052A200058AA048094985D541F92809ADA53ED4B35E4","C:\Program Files (x86)\Nova1492\datan\common\14_OT.bmp"
"datan\common\15_ON.BMP",".bmp","196664","D1D427DF5FCA1514F8FAE018163B4E1D068B98F14D0E7372007E1434D78962E5","C:\Program Files (x86)\Nova1492\datan\common\15_ON.BMP"
