source_relative_path,part_id,mesh_header,vertices,triangles,node,node_start,node_end,parent_node,parent_start,parent_end,local_tx,local_ty,local_tz,tx,ty,tz,bounds,repair_rule,repair_reason,texture_source,assessment
"datan\common\arm18_knst.gx","nova_fire_arm18_knst","0x40A0","8","10","Box351","0x3C8A","0x5D28","top","0x7D","0x5D33","0.422457","0.065659","-0.056242","0.422457","0.065659","-0.056242","0.367512;-0.000535;-0.193219|0.477403;0.413045;0.043087","","","C:\Program Files (x86)\Nova1492\datan\common\top16.TGA","pass"
"datan\common\arm18_knst.gx","nova_fire_arm18_knst","0x4802","48","45","NGon119","0x43EB","0x5D1D","Box351","0x3C8A","0x5D28","0.02131","0.423623","0.141066","0.443766","0.489282","0.084824","0.187578;0.303959;-0.314751|0.646646;0.7677;0.530189","","","C:\Program Files (x86)\Nova1492\datan\common\top16.TGA","pass"
"datan\common\arm18_knst.gx","nova_fire_arm18_knst","0x5A37","12","12","muzzle","0x5611","0x5D12","NGon119","0x43EB","0x5D1D","-0.074568","0.090022","0.159583","0.369199","0.579304","0.244407","0.367776;0.577881;0.244092|0.370621;0.580726;0.245848","","","C:\Program Files (x86)\Nova1492\datan\common\top16.TGA","pass"
"datan\common\arm19_roz.gx","nova_fire_arm19_roz","0x141","82","88","top","0x7D","0x5FE6","C:\Program Files\Nova1492AR\data\top31.GX","0x0","0x5FF1","0","0","0","0","0","0","-0.569957;-0.106165;-0.342684|0.56979;0.386955;0.359927","","","C:\Program Files (x86)\Nova1492\datan\common\top31.TGA","pass"
"datan\common\arm19_roz.gx","nova_fire_arm19_roz","0x1E24","38","44","Box255","0x1A0E","0x3CF0","top","0x7D","0x5FE6","-0.464485","0.051277","-0.0232","-0.464485","0.051277","-0.0232","-0.611489;-0.011037;-0.298622|-0.319528;0.44285;0.073485","","","C:\Program Files (x86)\Nova1492\datan\common\top31.TGA","pass"
"datan\common\arm19_roz.gx","nova_fire_arm19_roz","0x2D05","32","30","Box252","0x28EF","0x3CE5","Box255","0x1A0E","0x3CF0","-0.00305","0.377365","-0.215735","-0.467536","0.428642","-0.238936","-0.604584;0.34181;-0.337303|-0.330487;0.749351;0.24584","","","C:\Program Files (x86)\Nova1492\datan\common\top31.TGA","pass"
"datan\common\arm19_roz.gx","nova_fire_arm19_roz","0x39FF","12","12","muzzle1","0x3698","0x3CDA","Box252","0x28EF","0x3CE5","-0.001755","0.154196","0.328667","-0.46929","0.582838","0.089732","-0.470846;0.581183;0.087857|-0.467735;0.584492;0.091606","","","C:\Program Files (x86)\Nova1492\datan\common\top31.TGA","pass"
"datan\common\arm19_roz.gx","nova_fire_arm19_roz","0x4111","38","44","Box240","0x3CFB","0x5FDB","top","0x7D","0x5FE6","0.464121","0.05401","-0.022976","0.464121","0.05401","-0.022976","0.317118;-0.011037;-0.298622|0.609079;0.44285;0.073485","","","C:\Program Files (x86)\Nova1492\datan\common\top31.TGA","pass"
"datan\common\arm19_roz.gx","nova_fire_arm19_roz","0x4FF1","32","30","Box80","0x4BDC","0x5FD0","Box240","0x3CFB","0x5FDB","0.000824","0.372393","-0.218209","0.464945","0.426404","-0.241185","0.327897;0.34181;-0.337303|0.601994;0.749351;0.24584","","","C:\Program Files (x86)\Nova1492\datan\common\top31.TGA","pass"
"datan\common\arm19_roz.gx","nova_fire_arm19_roz","0x5CEA","12","12","muzzle","0x5984","0x5FC5","Box80","0x4BDC","0x5FD0","0.000907","0.155669","0.329828","0.465852","0.582072","0.088642","0.464297;0.580418;0.086768|0.467408;0.583727;0.090517","","","C:\Program Files (x86)\Nova1492\datan\common\top31.TGA","pass"
"datan\common\arm1_sz.gx","nova_fire_arm1_sz","0x48E","111","119","top","0x7C","0x2885","C:\Program Files\Nova1492AR\data\top1.GX","0x0","0x2890","0","0","0","0","0","0","-0.272744;-0.025977;-0.374875|0.278115;0.308452;1.568361","","","C:\Program Files (x86)\Nova1492\datan\common\top1.TGA","pass"
"datan\common\arm1_sz.gx","nova_fire_arm1_sz","0x259F","12","12","muzzle","0x2179","0x287A","top","0x7C","0x2885","0.016034","0.108838","0.964548","0.016034","0.108838","0.964548","0.00981;0.102614;0.96174|0.022258;0.115062;0.977892","","","C:\Program Files (x86)\Nova1492\datan\common\top1.TGA","pass"
"datan\common\arm20_rkto.gx","nova_fire_arm20_rkto","0x141","196","232","top","0x7D","0x5C1D","C:\Program Files\Nova1492AR\data\top32.GX","0x0","0x5C28","0","0","0","0","0","0","-0.867133;-0.046267;-0.349949|0.861386;0.664484;0.606124","","","C:\Program Files (x86)\Nova1492\datan\common\top32.TGA","pass"
"datan\common\arm20_rkto.gx","nova_fire_arm20_rkto","0x3C51","17","24","muzzle","0x37BA","0x41E8","top","0x7D","0x5C1D","0.486878","0.679405","0.143953","0.486878","0.679405","0.143953","0.35014;0.562849;-0.264373|0.623615;1.009522;0.522917","","","C:\Program Files (x86)\Nova1492\datan\common\top32.TGA","pass"
"datan\common\arm20_rkto.gx","nova_fire_arm20_rkto","0x4449","17","24","Box526","0x41F3","0x49E0","top","0x7D","0x5C1D","0.486878","0.432887","0.143953","0.486878","0.432887","0.143953","0.35014;0.316331;-0.264373|0.623615;0.763003;0.522917","","","C:\Program Files (x86)\Nova1492\datan\common\top32.TGA","pass"
"datan\common\arm20_rkto.gx","nova_fire_arm20_rkto","0x4E83","17","24","muzzle1","0x49EB","0x541A","top","0x7D","0x5C1D","-0.492017","0.679405","0.143953","-0.492017","0.679405","0.143953","-0.628754;0.562849;-0.264373|-0.35528;1.009522;0.522917","","","C:\Program Files (x86)\Nova1492\datan\common\top32.TGA","pass"
"datan\common\arm20_rkto.gx","nova_fire_arm20_rkto","0x567B","17","24","Box527","0x5425","0x5C12","top","0x7D","0x5C1D","-0.492017","0.432887","0.143953","-0.492017","0.432887","0.143953","-0.628754;0.316331;-0.264373|-0.35528;0.763003;0.522917","","","C:\Program Files (x86)\Nova1492\datan\common\top32.TGA","pass"
"datan\common\arm21_nmsz.gx","nova_fire_arm21_nmsz","0x410","174","131","top","0x7D","0x4645","C:\Program Files\Nova1492AR\data\top33.GX","0x0","0x4650","0","0","0","0","0","0","-0.278684;-0.002081;-0.53771|0.20316;0.358145;0.718705","","","C:\Program Files (x86)\Nova1492\datan\common\top33.TGA","pass"
"datan\common\arm21_nmsz.gx","nova_fire_arm21_nmsz","0x2DBB","44","54","NGon04","0x2A25","0x424C","top","0x7D","0x4645","-0.001131","0.111073","0.359435","-0.001131","0.111073","0.359435","-0.216637;0.03148;0.266314|0.214375;0.439837;1.573654","","","C:\Program Files (x86)\Nova1492\datan\common\top33.TGA","pass"
"datan\common\arm21_nmsz.gx","nova_fire_arm21_nmsz","0x3F66","12","12","muzzle","0x3B80","0x4241","NGon04","0x2A25","0x424C","0.002967","-0.019562","0.53187","0.001837","0.137941","0.890986","-0.004636;0.131493;0.887587|0.00831;0.14439;0.905086","","","C:\Program Files (x86)\Nova1492\datan\common\top33.TGA","pass"
"datan\common\arm21_nmsz.gx","nova_fire_arm21_nmsz","0x44BF","4","2","________","0x4257","0x463A","top","0x7D","0x4645","-0.205935","0.144423","0.711688","-0.205935","0.144423","0.711688","-0.266705;0.028751;0.711688|-0.142994;0.266654;0.711688","","","C:\Program Files (x86)\Nova1492\datan\common\top33.TGA","pass"
"datan\common\arm22_bsrsk.gx","nova_fire_arm22_bsrsk","0x450","221","164","top","0x7D","0x4A6B","C:\Program Files\Nova1492AR\data\top34.GX","0x0","0x4A76","0","0","0","0","0","0","-0.314615;-0.000439;-0.440258|0.314615;0.370096;0.921184","","","C:\Program Files (x86)\Nova1492\datan\common\top34.TGA","pass"
"datan\common\arm22_bsrsk.gx","nova_fire_arm22_bsrsk","0x360B","40","32","NGon10","0x31F5","0x46C6","top","0x7D","0x4A6B","0.00468","0.062129","0.903352","0.00468","0.062129","0.903352","-0.136259;-0.042621;0.612121|0.145619;0.172372;1.502842","","","C:\Program Files (x86)\Nova1492\datan\common\top34.TGA","pass"
"datan\common\arm22_bsrsk.gx","nova_fire_arm22_bsrsk","0x43E0","12","12","muzzle","0x3FBA","0x46BB","NGon10","0x31F5","0x46C6","-0.001637","0.004197","0.526315","0.003043","0.066326","1.429667","0.00086;0.063938;1.427462|0.005243;0.068715;1.431859","","","C:\Program Files (x86)\Nova1492\datan\common\top34.TGA","pass"
"datan\common\arm22_bsrsk.gx","nova_fire_arm22_bsrsk","0x4939","4","2","________","0x46D1","0x4A60","top","0x7D","0x4A6B","-0","0.20946","0.670667","-0","0.20946","0.670667","-0.044829;0.140456;0.633564|0.044731;0.278735;0.695207","","","C:\Program Files (x86)\Nova1492\datan\common\top34.TGA","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x146","6","4","top","0x83","0x3B6","D:\NOVA\2003.5.13\????????\????????\????????.GX","0x0","0x5A0","0","0","0","0","0","0","-0.353618;0.001583;-0.204779|0.353618;0.616617;-0.204779","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x3CE","4","2","D:\NOVA\2003.5.13\????????\????????\????????.GX","0x0","0x5A0","","","","0","0","0","0","0","0","-0.307794;0.003608;-0.210975|0.307794;0.614011;-0.206095","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x5B8","34","22","","","","","","","0","0","0","0","0","0","-0.353618;0.001583;-0.882728|0.353618;0.97174;0.455588","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0xEC2","66","40","","","","","","","0","0","0","0","0","0","-0.353618;0.001583;-0.882728|0.353618;0.97174;0.455588","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x1DB8","24","16","","","","","","","0","0","0","0","0","0","-0.202068;0.001583;-0.201973|0.202068;0.616617;0.455588","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x3676","69","40","Sphere07","0x23DB","0x443A","","","","0","0.621455","-0.005478","0","0.621455","-0.005478","-0.152144;0.634694;-0.166735|0.153737;0.914492;0.208207","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x4452","16","14","","","","","","","0","0","0","0","0","0","-0.152192;0.012976;-0.156328|0.153713;0.278754;0.004002","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x4C40","16","20","Box395","0x48A8","0x52AC","","","","0.354447","0.516808","-0.074429","0.354447","0.516808","-0.074429","0.349526;0.205784;-0.349491|0.798526;0.827832;0.200632","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x52C4","4","2","","","","","","","0","0","0","0","0","0","-0.00492;0.053175;-0.275062|-0.00492;0.311024;0.275062","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x6E18","35","16","Box396","0x543F","0xA01E","","","","0.151142","-0.064165","0.019395","0.151142","-0.064165","0.019395","0.034686;-0.433142;-0.238811|0.479981;0.060423;0.143342","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x8C4C","36","18","Box397","0x75B3","0x94BC","Box396","0x543F","0xA01E","-0","-0.42469","0.06614","0.416711","-0.381216","-0.097602","0.321878;-0.644937;-0.146983|0.67279;-0.289852;0.382863","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x94D4","5","2","Box396","0x543F","0xA01E","","","","0.151142","-0.064165","0.019395","0.151142","-0.064165","0.019395","0.31911;-0.473239;-0.350164|0.518914;-0.266381;-0.117687","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x9B48","20","10","Box399","0x966F","0xA013","Box396","0x543F","0xA01E","-0.007318","-0.475461","-0.060992","0.413632","-0.374761","-0.234505","0.345831;-0.612105;-0.453353|0.597959;-0.284671;-0.141605","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0xA10E","6","4","Cylinder243477","0xA03F","0xA329","","","","0","0.448691","-0.03299","0","0.448691","-0.03299","-0.465592;0.356742;-0.139164|0.465592;0.540641;0.073184","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0xC358","39","42","Cylinder243475","0xA334","0xDC40","","","","-0.373982","0.542708","-0.164915","-0.373982","0.542708","-0.164915","-0.89647;0.249038;-0.43323|-0.350448;0.775832;0.108397","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0xCEAC","26","14","Box394","0xCDE3","0xDC35","Cylinder243475","0xA334","0xDC40","-0.171733","-0.056439","0.00592","-0.545719","0.486196","-0.159841","-0.710106;0.393031;-0.346849|-0.426995;0.833636;0.157997","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0xD5B0","12","10","Cylinder243476","0xD4DF","0xDA02","Box394","0xCDE3","0xDC35","-0.019441","0.080777","0.275845","-0.572273","0.607481","0.100116","-0.712924;0.491874;0.080815|-0.437661;0.756736;0.340485","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0xDA1A","6","4","Box394","0xCDE3","0xDC35","Cylinder243475","0xA334","0xDC40","-0.171733","-0.056439","0.00592","-0.545719","0.486196","-0.159841","-0.68637;0.404236;0.041931|-0.416922;0.63545;0.080527","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0xE464","35","16","Box391","0xDC4B","0xFC8A","","","","-0.202923","-0.090873","-0.151808","-0.202923","-0.090873","-0.151808","-0.35689;-0.491949;-0.275942|-0.110294;0.023373;0.15296","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0xECC8","36","18","Box392","0xEBFF","0xF538","Box391","0xDC4B","0xFC8A","0","-0.42469","0.06614","-0.282677","-0.395139","0.141105","-0.37907;-0.570035;0.118496|-0.187405;-0.299638;0.688661","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0xF550","5","2","Box391","0xDC4B","0xFC8A","","","","-0.202923","-0.090873","-0.151808","-0.202923","-0.090873","-0.151808","-0.400998;-0.643949;-0.013756|-0.210675;-0.474287;0.203746","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0xF7B4","20","10","Box400","0xF6EB","0xFC7F","Box391","0xDC4B","0xFC8A","0.00968","-0.474908","-0.060333","-0.284825","-0.509198","0.066293","-0.40863;-0.766349;0.016116|-0.223977;-0.48158;0.312095","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0xFD60","24","20","Object03","0xFC95","0x10488","","","","0.011762","-0.036465","0.297548","0.011762","-0.036465","0.297548","-0.086068;-0.96049;0.228095|0.339425;0.06243;1.72056","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x104A0","12","8","","","","","","","0","0","0","0","0","0","-0.208347;-0.180434;1.228678|0.208347;0.180433;1.533774","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x108C2","12","4","","","","","","","0","0","0","0","0","0","-0.104173;-0.180434;-0.033032|0.104173;-0.080642;1.533774","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x11293","12","6","muzzle","0x10B7F","0x11596","","","","0","-0.022338","1.557463","0","-0.022338","1.557463","-0.634734;-0.657072;1.290717|0.634734;0.612396;2.560185","","","C:\Program Files (x86)\Nova1492\datan\common\grid.bmp","pass"
